selection file, result

1

[5000, 14306.2]
[9225.0, 15000.0]
[9100.0, 14977.4]
[8320.0, 14976.0]
[5760.0, 15179.8]
[5200.0, 14660.0]
[5199.8, 14626.9]
[5082.6, 14624.8]

2

[5000, 14100.0]
[9888.5, 15000.0]
[9828.0, 14977.4]
[9600.0, 14976.0]
[9568.0, 15179.8]
[9512.4, 14660.0]
[9360.0, 14626.9]
[9225.0, 14624.8]
[9100.0, 14306.2]
[8320.0, 14287.9]
[5760.0, 14268.6]
[5200.0, 14268.0]
[5199.8, 14256.0]
[5082.6, 14105.9]

3

[5000, 13500.0]
[11205.2, 15000.0]
[11138.4, 14977.4]
[11036.2, 14976.0]
[10764.0, 15179.8]
[10135.7, 14660.0]
[10010.6, 14626.9]
[9888.5, 14624.8]
[9828.0, 14306.2]
[9600.0, 14287.9]
[9568.0, 14268.6]
[9512.4, 14268.0]
[9360.0, 14256.0]
[9225.0, 14105.9]
[9100.0, 14100.0]
[8320.0, 13967.3]
[5760.0, 13920.0]
[5200.0, 13877.0]
[5199.8, 13661.3]
[5082.6, 13599.5]

4

[5000, 12614.3]
[11777.0, 15000.0]
[11618.9, 14977.4]
[11575.1, 14976.0]
[11305.9, 15179.8]
[11305.8, 14660.0]
[11274.1, 14626.9]
[11205.2, 14624.8]
[11138.4, 14306.2]
[11036.2, 14287.9]
[10764.0, 14268.6]
[10135.7, 14268.0]
[10010.6, 14256.0]
[9888.5, 14105.9]
[9828.0, 14100.0]
[9600.0, 13967.3]
[9568.0, 13920.0]
[9512.4, 13877.0]
[9360.0, 13661.3]
[9225.0, 13599.5]
[9100.0, 13500.0]
[8320.0, 13000.0]
[5760.0, 12999.8]
[5200.0, 12941.2]
[5199.8, 12784.7]
[5082.6, 12739.8]

5

[5000, 12240.0]
[12289.7, 15000.0]
[12000.0, 14977.4]
[11890.6, 14976.0]
[11890.4, 15179.8]
[11856.0, 14660.0]
[11813.0, 14626.9]
[11777.0, 14624.8]
[11618.9, 14306.2]
[11575.1, 14287.9]
[11305.9, 14268.6]
[11305.8, 14268.0]
[11274.1, 14256.0]
[11205.2, 14105.9]
[11138.4, 14100.0]
[11036.2, 13967.3]
[10764.0, 13920.0]
[10135.7, 13877.0]
[10010.6, 13661.3]
[9888.5, 13599.5]
[9828.0, 13500.0]
[9600.0, 13000.0]
[9568.0, 12999.8]
[9512.4, 12941.2]
[9360.0, 12784.7]
[9225.0, 12739.8]
[9100.0, 12614.3]
[8320.0, 12592.8]
[5760.0, 12527.0]
[5200.0, 12480.0]
[5199.8, 12382.1]
[5082.6, 12289.7]

6

[5000, 11777.0]
[12695.8, 15000.0]
[12688.0, 14977.4]
[12614.3, 14976.0]
[12381.0, 15179.8]
[12324.0, 14660.0]
[12300.0, 14626.9]
[12294.1, 14624.8]
[12289.7, 14306.2]
[12000.0, 14287.9]
[11890.6, 14268.6]
[11890.4, 14268.0]
[11856.0, 14256.0]
[11813.0, 14105.9]
[11777.0, 14100.0]
[11618.9, 13967.3]
[11575.1, 13920.0]
[11305.9, 13877.0]
[11305.8, 13661.3]
[11274.1, 13599.5]
[11205.2, 13500.0]
[11138.4, 13000.0]
[11036.2, 12999.8]
[10764.0, 12941.2]
[10135.7, 12784.7]
[10010.6, 12739.8]
[9888.5, 12614.3]
[9828.0, 12592.8]
[9600.0, 12527.0]
[9568.0, 12480.0]
[9512.4, 12382.1]
[9360.0, 12289.7]
[9225.0, 12240.0]
[9100.0, 12209.5]
[8320.0, 12187.7]
[5760.0, 12184.3]
[5200.0, 12120.4]
[5199.8, 11806.4]
[5082.6, 11806.3]

7

[5000, 11137.6]
[13166.0, 15000.0]
[13165.9, 14977.4]
[13008.6, 14976.0]
[13000.0, 15179.8]
[12999.8, 14660.0]
[12699.2, 14626.9]
[12695.8, 14624.8]
[12688.0, 14306.2]
[12614.3, 14287.9]
[12381.0, 14268.6]
[12324.0, 14268.0]
[12300.0, 14256.0]
[12294.1, 14105.9]
[12289.7, 14100.0]
[12000.0, 13967.3]
[11890.6, 13920.0]
[11890.4, 13877.0]
[11856.0, 13661.3]
[11813.0, 13599.5]
[11777.0, 13500.0]
[11618.9, 13000.0]
[11575.1, 12999.8]
[11305.9, 12941.2]
[11305.8, 12784.7]
[11274.1, 12739.8]
[11205.2, 12614.3]
[11138.4, 12592.8]
[11036.2, 12527.0]
[10764.0, 12480.0]
[10135.7, 12382.1]
[10010.6, 12289.7]
[9888.5, 12240.0]
[9828.0, 12209.5]
[9600.0, 12187.7]
[9568.0, 12184.3]
[9512.4, 12120.4]
[9360.0, 11806.4]
[9225.0, 11806.3]
[9100.0, 11777.0]
[8320.0, 11618.9]
[5760.0, 11514.4]
[5200.0, 11465.8]
[5199.8, 11442.1]
[5082.6, 11440.0]
